ResultID,CaseID,PassID_可空,试件编号,重复试验序号,试验日期,取样位置,检测方法,熔深_mm,焊宽_mm,正面余高_mm,背面余高_mm,气孔,咬边,未熔合,未焊透,裂纹,拉伸强度_MPa,屈服强度_MPa,延伸率_pct,冲击温度_C,冲击功_J,硬度_HV,宏观金相结果,其他质量指标,合格判定,判定标准及版本,实测报告路径或链接,记录人,备注,ExcelRow
RES12-UNESA-40,AH36-12-1G-40-UNESA,,Groove-40,,,,拉伸 + Face bend + Root bend,,,,,,,,,,507.88,365.44,30.53,,,,,Reduction of Area = 56.00%；Face bend与Root bend均accepted，无开放裂纹/缺陷,合格,ASTM A370（拉伸）；ASTM E190 / AWS D1.1（弯曲接受准则）,https://ejournal.unesa.ac.id/index.php/jtm-unesa/article/view/79008/55323,文献数据,同一焊接电参190 A / 33 V；变量为Single-V坡口角。论文结论中50°组综合力学性能最佳。,2
RES12-UNESA-50,AH36-12-1G-50-UNESA,,Groove-50,,,,拉伸 + Face bend + Root bend,,,,,,,,,,518.43,374.42,31.36,,,,,Reduction of Area = 57.97%；Face bend与Root bend均accepted，无开放裂纹/缺陷,合格,ASTM A370（拉伸）；ASTM E190 / AWS D1.1（弯曲接受准则）,https://ejournal.unesa.ac.id/index.php/jtm-unesa/article/view/79008/55323,文献数据,同一焊接电参190 A / 33 V；变量为Single-V坡口角。论文结论中50°组综合力学性能最佳。,3
RES12-UNESA-60,AH36-12-1G-60-UNESA,,Groove-60,,,,拉伸 + Face bend + Root bend,,,,,,,,,,512.76,369.85,29.07,,,,,Reduction of Area = 50.65%；Face bend与Root bend均accepted，无开放裂纹/缺陷,合格,ASTM A370（拉伸）；ASTM E190 / AWS D1.1（弯曲接受准则）,https://ejournal.unesa.ac.id/index.php/jtm-unesa/article/view/79008/55323,文献数据,同一焊接电参190 A / 33 V；变量为Single-V坡口角。论文结论中50°组综合力学性能最佳。,4
