Grouping,Target,Model,Cases,Sources,N,EligibleContexts,Coverage,MAE,RMSE,CaseMacroMAE,CaseMacroRMSE,Coverage95,Status
CaseID,Current,Baseline,3,1,9,9,1.0,0.0,0.0,0.0,0.0,,"Descriptive only: single source, constant targets"
CaseID,Current,GPR,3,1,9,9,1.0,0.0,0.0,0.0,0.0,1.0,"Descriptive only: single source, constant targets"
CaseID,Voltage,Baseline,3,1,9,9,1.0,0.0,0.0,0.0,0.0,,"Descriptive only: single source, constant targets"
CaseID,Voltage,GPR,3,1,9,9,1.0,0.0,0.0,0.0,0.0,1.0,"Descriptive only: single source, constant targets"
CaseID,TravelSpeed,Baseline,0,0,0,0,0.0,,,,,,Insufficient independent groups / labels
CaseID,TravelSpeed,GPR,0,0,0,0,0.0,,,,,,Insufficient independent groups / labels
